"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1010212,Q1010212,Fortrose,Point(-4.13237 57.5815)
http://www.wikidata.org/entity/Q1010221,Q1010221,Hayle,Point(-5.416 50.183)
http://www.wikidata.org/entity/Q1010266,Q1010266,Kinghorn,Point(-3.17 56.07)
http://www.wikidata.org/entity/Q1010313,Q1010313,Lennoxtown,Point(-4.206 55.974)
http://www.wikidata.org/entity/Q1010316,Q1010316,Innerleithen,Point(-3.05901 55.6184)
http://www.wikidata.org/entity/Q1010320,Q1010320,West Kilbride,Point(-4.8576 55.6966)
http://www.wikidata.org/entity/Q1010322,Q1010322,Torphichen,Point(-3.65 55.9333)
http://www.wikidata.org/entity/Q1010328,Q1010328,Kilsyth,Point(-4.06 55.98)
http://www.wikidata.org/entity/Q1010334,Q1010334,Rothes,Point(-3.21404 57.5298)
http://www.wikidata.org/entity/Q1010347,Q1010347,Gullane,Point(-2.8265 56.0371)
http://www.wikidata.org/entity/Q1010357,Q1010357,Findochty,Point(-2.902 57.698)
http://www.wikidata.org/entity/Q1010363,Q1010363,Newtonmore,Point(-4.1188 57.0692)
http://www.wikidata.org/entity/Q1010372,Q1010372,North Kessock,Point(-4.24973 57.5001)
http://www.wikidata.org/entity/Q1010388,Q1010388,Rosemarkie,Point(-4.11516 57.5916)
http://www.wikidata.org/entity/Q1010396,Q1010396,Grantown-on-Spey,Point(-3.60877 57.3293)
http://www.wikidata.org/entity/Q1010422,Q1010422,Inverkeithing,Point(-3.383333333 56.033333333)
http://www.wikidata.org/entity/Q1010527,Q1010527,Longridge,Point(-2.597 53.831)
http://www.wikidata.org/entity/Q1010531,Q1010531,Forres,Point(-3.61673 57.6)
http://www.wikidata.org/entity/Q1010537,Q1010537,Portsoy,Point(-2.688 57.683)
http://www.wikidata.org/entity/Q1010543,Q1010543,Killearn,Point(-4.368 56.042)
http://www.wikidata.org/entity/Q1010547,Q1010547,Strathblane,Point(-4.30613 55.9865)
http://www.wikidata.org/entity/Q1010552,Q1010552,Lesmahagow,Point(-3.887 55.638)
http://www.wikidata.org/entity/Q1010557,Q1010557,Mallaig,Point(-5.831 57.006)
http://www.wikidata.org/entity/Q1010998,Q1010998,Portree,Point(-6.193611111 57.413055555)
http://www.wikidata.org/entity/Q1011062,Q1011062,Maldon,Point(0.675833333 51.731666666)
http://www.wikidata.org/entity/Q1011091,Q1011091,Pool,Point(-5.266 50.228)
http://www.wikidata.org/entity/Q1011095,Q1011095,New Cumnock,Point(-4.1839 55.3968)
http://www.wikidata.org/entity/Q1011133,Q1011133,Ratho,Point(-3.36667 55.9167)
http://www.wikidata.org/entity/Q1011148,Q1011148,Moodiesburn,Point(-4.08666 55.9183)
http://www.wikidata.org/entity/Q1011156,Q1011156,Loanhead,Point(-3.14827 55.8778)
http://www.wikidata.org/entity/Q1011189,Q1011189,Fyvie,Point(-2.39798 57.4272)
http://www.wikidata.org/entity/Q1011221,Q1011221,Kincardine,Point(-3.719 56.069)
http://www.wikidata.org/entity/Q1011227,Q1011227,Plean,Point(-3.86667 56.05)
http://www.wikidata.org/entity/Q1011233,Q1011233,West Barns,Point(-2.553 55.9937)
http://www.wikidata.org/entity/Q1011252,Q1011252,Ochiltree,Point(-4.36151 55.4617)
http://www.wikidata.org/entity/Q1011272,Q1011272,St Cyrus,Point(-2.4158 56.775)
http://www.wikidata.org/entity/Q1011324,Q1011324,Lundin Links,Point(-2.96084 56.2113)
http://www.wikidata.org/entity/Q1011331,Q1011331,Mintlaw,Point(-2.001 57.525)
http://www.wikidata.org/entity/Q1011336,Q1011336,Tranent,Point(-2.95417 55.9447)
http://www.wikidata.org/entity/Q1011387,Q1011387,Kirkcudbright,Point(-4.033333333 54.816666666)
http://www.wikidata.org/entity/Q1011428,Q1011428,Penicuik,Point(-3.22 55.826)
http://www.wikidata.org/entity/Q1011507,Q1011507,Peebles,Point(-3.18 55.65)
http://www.wikidata.org/entity/Q1011526,Q1011526,Strathpeffer,Point(-4.5457 57.5832)
http://www.wikidata.org/entity/Q1011533,Q1011533,Kilmacolm,Point(-4.62708 55.8941)
http://www.wikidata.org/entity/Q1011540,Q1011540,Nethy Bridge,Point(-3.65459 57.2634)
http://www.wikidata.org/entity/Q1011545,Q1011545,Wemyss Bay,Point(-4.887 55.884)
http://www.wikidata.org/entity/Q1011555,Q1011555,Muir of Ord,Point(-4.46 57.52)
http://www.wikidata.org/entity/Q1011562,Q1011562,Milton of Campsie,Point(-4.16195 55.9643)
http://www.wikidata.org/entity/Q1011570,Q1011570,Twechar,Point(-4.08682 55.9539)
http://www.wikidata.org/entity/Q1011578,Q1011578,Findhorn,Point(-3.611 57.659)
http://www.wikidata.org/entity/Q1011584,Q1011584,Halkirk,Point(-3.49 58.51)
http://www.wikidata.org/entity/Q1011600,Q1011600,Ellesmere Port,Point(-2.897 53.279)
http://www.wikidata.org/entity/Q1011603,Q1011603,Kirriemuir,Point(-3.0051 56.669211111)
http://www.wikidata.org/entity/Q1011611,Q1011611,Portpatrick,Point(-5.12429 54.845)
http://www.wikidata.org/entity/Q1011627,Q1011627,Valleyfield,Point(-3.6017 56.0629)
http://www.wikidata.org/entity/Q1011665,Q1011665,Pitlochry,Point(-3.733055555 56.705)
http://www.wikidata.org/entity/Q1011677,Q1011677,Invergordon,Point(-4.156944444 57.688055555)
http://www.wikidata.org/entity/Q1011685,Q1011685,Pittenweem,Point(-2.728611111 56.213055555)
http://www.wikidata.org/entity/Q1011691,Q1011691,Greenlaw,Point(-2.466666666 55.7)
