"id","type","lon","lat","place","name","name:en","name:zh","wikipedia","wikidata"
,node,-4.516,55.8291,,Johnstone South,,,,
,node,-2.482,53.617,,Smithills,,,,
,node,-0.2727,52.5385,,Hampton Hargate,,,,
,node,-2.5952,53.5087,,Abram,,,,
,node,-2.6519,53.5002,,Bryn,,,,
,node,-0.67,53.57,,Kingsway with Lincoln Gardens,,,,
,node,-3.87,56.62,,Highland,,,,
,node,-2.1183,53.3963,,Offerton,,,,
,node,-4.4312,55.7809,,Neilston,,,,
,node,-3.39,56.12,,The Lochs,,,,
,node,-4.18,57.69,,Cromarty Firth,,,,
,node,-3.607,56.0169,,Bo'ness,,,,
,node,-1.3458,53.5029,,Wath,,,,
,node,-2.18,53.62,,Spotland,,,,
,node,-2.0093,57.6928,,Fraserburgh,,,,
,node,-4.0705,55.9733,,Kilsyth,,,,
,node,-2.74,53.36,,Riverside,,,,
,node,-2.4317,52.7154,,Donnington,,,,
,node,-1.5766,53.6781,,Ossett,,,,
,node,-3.0884,58.4385,,Wick,,,,
,node,-1.469,50.9447,,Nursling,,,,
,node,-3.1807,53.3905,,Hoylake,,,,
,node,-2.21,53.58,,Hopwood Hall,,,,
,node,-3.97,55.81,,Motherwell,,,,
,node,-2.448,53.4954,,Astley Mosley Common,,,,
,node,-2.4224,53.4488,,Irlam,,,,
,node,-4.51,55.68,,Annick,,,,
,node,-2.86,53.19,,Boughton,,,,
,node,-3.6132,57.6099,,Forres,,,,
,node,-1.4033,50.8695,,Hythe,,,,
,node,-4.431,57.5958,,Dingwall,,,,
,node,-2.8799,53.2051,,Newton,,,,
,node,-1.3925,53.7905,,Garforth,,,,
,node,-2.09,55.87,,East Berwickshire,,,,
,node,-2.06,57.25,,Mid Formartine,,,,
,node,-1.8714,53.6878,,Greetland,,,,
,node,-4.856,55.2424,,Girvan,,,,
,node,-1.2383,53.7092,,Knottingley,,,,
,node,-2.19,53.56,,North Middleton,,,,
,node,-3.0956,57.6136,,Fochabers Lhanbryde,,,,
,node,-2.1099,53.6083,,Milnrow,,,,
,node,-4.0905,50.36,,Plymstock Radford,,,,
,node,-2.7313,53.3722,,Appleton,,,,
,node,-2.82,56.19,,East Neuk,,,,
,node,-2.89,56.36,,Tay Bridgehead,,,,
,node,0.4385,51.2874,,East Malling,,,,
,node,1.0388,51.3129,,St. Cosmus,,,,
,node,-4.48,57.33,,Aird,,,,
,node,-2.23,51.88,,Gloucester,,,,
,node,-3.12,56.28,,Howe of Fife,,,,
,node,-2.3675,53.4868,,Winton,,,,
,node,-0.72,51.52,,Oldfield,,,,
,node,-4.16,55.94,,Campsie,,,,
,node,-1.511,53.3558,,Ecclesall,,,,
,node,-3.57,56.56,,Strathtay,,,,
,node,-3.965,55.7409,,Larkhall,,,,
,node,-2.06,53.48,,Dukinfield Stalybridge,,,,
,node,-4.4833,57.5333,,Wester Ross,,,,
,node,-1.8,51.56,,Mannington,,,,
,node,-2.75,53.33,,Heath,,,,
,node,-2.9987,51.2377,,Burnham-on-Sea,,,,
,node,-2.7845,55.4247,,Hawick,,,,
,node,-0.6545,53.5642,,Ashby,,,,
,node,-1.0018,54.5853,,Saltburn,,,,
,node,-2.2156,56.9636,,Stonehaven,,,,
,node,-3.2645,51.5436,,Taffs Well,,,,
,node,-5.7408,57.2787,,Eilean a'Cheo,,,,
,node,-4.7205,55.7081,,Dalry,,,,
,node,-4.14,57.58,,Black Isle,,,,
,node,-3.2212,55.8274,,Penicuik,,,,
,node,-2.5778,53.5335,,Hindley,,,,
,node,-1.6354,54.7507,,Brandon,,,,
,node,-2.63,53.49,,Ashton,,,,
,node,-2,53.4667,,Longdendale,,,,
,node,-2.07,53.46,,Hyde Newton,,,,
,node,-2.16,53.62,,Central Rochdale,,,,
,node,-1.3155,53.5331,,Dearne,,,,
,node,-0.6976,52.0293,,Kents Hill,,,,
,node,-3.1002,53.3283,,Heswall,,,,
,node,-1.9625,50.7489,,Canford Heath,,,,
,node,-3.8315,55.8333,,Fortissat,,,,
,node,-2.1167,53.4167,,Bredbury Green,,,,
,node,-2.23,53.59,,West Heywood,,,,
,node,-2.7176,53.3272,,Grange,,,,
,node,-2.9811,51.5999,,St. Julians,,,,
,node,-0.6494,53.5849,,Frodingham,,,,
,node,-1.1469,60.1555,,Lerwick,,,,
,node,-2.22,53.59,,North Heywood,,,,
,node,-1.739,52.3933,,Knowle,,,,
,node,-2.2099,53.616,,Bamford,,,,
,node,0.385,51.6711,,Ingatestone,,,,
,node,-1.7781,51.5724,,Gorse Hill,,,,
,node,-1.7826,51.5552,,Eastcott,,,,
,node,-3.0951,53.3441,,Pensby,,,,
,node,-2.21,53.56,,West Middleton,,,,
,node,-2.4906,53.525,,Atherton,,,,
,node,-2.0958,53.6441,,Littleborough Lakeside,,,,
,node,-4.4,55.92,,Kilpatrick,,,,
,node,-3.7007,55.8992,,Armadale,,,,
,node,-1.5264,53.5429,,Dodworth,,,,
,node,-2.9531,53.3271,,Eastham,,,,
,node,-2.7926,55.9545,,Haddington,,,,
,node,-2.7,53.33,,Halton Lea,,,,
,node,-4.6862,55.7554,,Kilbirnie,,,,
,node,-2.19,57.27,,East Garioch,,,,
,node,-2.4199,53.5275,,Little Hulton,,,,
,node,-2.5782,53.4748,,Lowton,,,,
,node,-1.2837,53.4939,,Mexborough,,,,
,node,-2.48,56.83,,Mearns,,,,
,node,-3.099,53.385,,Upton,,,,
,node,0.73,51.55,,St. Luke's,,,,
,node,-4.21,55.82,,Rutherglen,,,,
,node,-2.13,53.62,,Smallbridge,,,,
,node,-2.6715,53.3306,,Norton,,,,
,node,-2.4662,53.5145,,Tyldesley,,,,
,node,-1.4327,52.9426,,Oakwood,,,,
,node,-2.6889,53.5227,,Winstanley,,,,
,node,-4.13,55.94,,Kirkintilloch,,,,
,node,-1.5427,50.7584,,Lymington,,,,
,node,-2.6667,53.5833,,Standish with Langtree,,,,
,node,-5.02,54.9,,Wigtown,,,,
,node,-2.6167,53.5333,,Ince,,,,
,node,-1.3167,53.4833,,Swinton,,,,
,node,-1.5072,53.3832,,Crookes,,,,
,node,-3.59,50.43,,Blatchcombe,,,,
,node,-3.0506,53.4899,,Blundellsands,,,,
,node,-2.6486,53.53,,Worsley Mesnes,,,,
,node,-0.6621,53.5952,,Crosby,,,,
,node,-0.25,52.55,,Hargate,,,,
,node,-3.88,55.78,,Murdostoun,,,,
,node,-3.23,56.62,,Strathmore,,,,
,node,-2.1413,53.5957,,Balderstone,,,,
,node,-3.3461,51.7112,,Troed-y-Rhiw,,,,
,node,-4.0227,51.7255,,Pontardulais,,,,
,node,-0.25,52.56,,Fletton,,,,
